,City,Lat,Lng,Max Temp,Humidity,cloudiness,Wind Speed,Country,Date
384,qaqortoq,60.72,-46.03,30.2,86,80,2.24,GL,1604024034
385,anito,12.45,125.29,82.92,87,100,9.15,PH,1604024034
386,talnakh,69.49,88.4,4.08,87,65,9.19,RU,1604023810
387,beloha,-25.17,45.05,65.66,79,0,11.74,MG,1604024034
388,palafrugell,41.92,3.16,55.0,100,17,2.24,ES,1604024035
389,satna,24.58,80.83,72.03,39,0,0.51,IN,1604024035
390,minot,48.23,-101.3,39.2,86,90,3.36,US,1604024035
391,buenos aires,-34.61,-58.38,59.0,51,0,9.17,AR,1604023951
392,kleive,62.8,7.64,41.0,93,0,8.05,NO,1604024035
393,la ronge,55.1,-105.28,23.67,95,56,8.55,CA,1604023873
394,vuktyl,63.86,57.31,37.15,97,100,10.49,RU,1604024036
395,galle,6.04,80.22,79.68,80,100,6.26,LK,1604024036
396,maniitsoq,65.42,-52.9,24.98,89,81,11.72,GL,1604023872
397,tabou,4.42,-7.35,76.98,91,100,7.36,CI,1604024036
398,tautira,-17.73,-149.15,84.2,70,40,13.87,PF,1604023841
399,taltal,-25.4,-70.48,57.13,72,36,3.83,CL,1604023861
400,rodrigues alves,-7.74,-72.65,77.09,83,98,3.2,BR,1604024037
401,buraydah,26.33,43.98,59.0,38,0,6.22,SA,1604023854
402,jinchang,38.5,102.17,45.09,54,47,14.79,CN,1604024037
403,berlevag,70.86,29.09,35.49,83,100,23.24,NO,1604024037
404,rexburg,43.83,-111.79,48.2,42,1,3.36,US,1604023777
405,siguiri,11.67,-9.5,70.74,35,8,0.47,GN,1604024037
406,maningrida,-12.07,134.27,93.34,21,28,4.81,AU,1604024038
407,alice springs,-23.7,133.88,75.2,21,0,10.29,AU,1604023608
408,gat,31.61,34.76,71.01,100,99,1.01,IL,1604023803
409,deori khas,23.4,79.02,69.15,58,0,2.48,IN,1604024038
410,seymchan,62.88,152.43,10.72,89,100,2.46,RU,1604024038
411,nuuk,64.18,-51.72,21.2,79,47,6.93,GL,1604024038
412,jenks,36.02,-95.97,46.4,70,1,3.36,US,1604024038
413,tahta,26.77,31.5,68.85,62,0,8.1,EG,1604024038
414,shelburne,44.08,-80.2,36.0,94,100,12.97,CA,1604023853
415,siniscola,40.57,9.69,62.6,72,0,16.11,IT,1604024039
416,storforshei,66.4,14.52,31.71,93,89,4.47,NO,1604024039
417,gweta,-20.18,25.23,76.33,27,0,8.59,BW,1604024039
418,kouqian,43.64,126.46,43.32,56,0,4.38,CN,1604024039
419,kisangani,0.52,25.2,67.93,97,100,0.4,CD,1604023856
420,matay,28.42,30.78,69.71,69,100,17.69,EG,1604024039
421,tilichiki,60.47,166.1,29.66,92,0,0.83,RU,1604024039
422,conceicao do araguaia,-8.26,-49.26,78.76,80,99,2.46,BR,1604024039
423,tarakan,3.3,117.63,81.43,76,14,2.77,ID,1604024040
424,grand-santi,4.25,-54.38,76.3,93,100,4.34,GF,1604024040
425,lamar,33.67,-95.58,44.6,87,1,6.93,US,1604024040
426,marzuq,14.4,46.47,61.21,32,0,3.18,YE,1604023869
427,pontianak,-0.03,109.33,86.43,67,8,3.27,ID,1604024040
428,baculin,7.45,126.58,85.91,64,99,3.58,PH,1604024040
429,airai,-8.93,125.41,77.92,48,0,2.62,TL,1604023815
430,srivardhan,18.03,73.02,78.82,71,96,5.7,IN,1604024040
431,sharhorod,48.74,28.09,48.0,94,35,6.69,UA,1604024041
432,buchanan,5.88,-10.05,77.0,94,40,6.08,LR,1604024041
433,inhambane,-23.86,35.38,72.48,90,8,9.33,MZ,1604024041
434,lompoc,34.64,-120.46,62.6,82,1,11.41,US,1604023811
435,challans,46.84,-1.87,59.0,87,90,8.05,FR,1604024041
436,villa carlos paz,-31.42,-64.5,60.01,42,20,4.18,AR,1604024042
437,champerico,14.3,-91.92,66.99,95,100,6.98,GT,1604024042
438,ugoofaaru,5.67,73.0,82.36,73,64,7.61,MV,1604023863
439,albert lea,43.65,-93.37,33.8,86,75,1.63,US,1604023847
440,karlsfeld,48.22,11.47,50.0,95,100,14.47,DE,1604024042
441,salair,54.23,85.8,30.87,98,100,15.61,RU,1604024042
442,singapore,1.29,103.85,87.01,83,75,4.7,SG,1604023929
443,bafoulabe,13.81,-10.83,77.07,21,14,3.24,ML,1604024043
444,phan thiet,10.93,108.1,82.78,72,75,2.26,VN,1604024043
445,mandali,33.75,45.55,61.9,32,40,0.31,IQ,1604024043
446,turayf,31.67,38.66,60.8,29,0,4.7,SA,1604024043
447,asau,46.43,26.4,48.0,87,100,4.23,RO,1604023813
448,krasnoselkup,65.7,82.47,-4.16,91,13,6.11,RU,1604023842
449,todos santos,23.45,-110.22,75.0,69,74,1.99,MX,1604024043
450,saquarema,-22.92,-42.51,77.0,88,90,8.05,BR,1604024043
451,santo amaro,-12.55,-38.71,78.8,83,20,10.29,BR,1604024043
452,haysyn,48.81,29.39,50.72,81,82,3.78,UA,1604024044
453,flinders,-34.58,150.86,73.0,49,40,11.41,AU,1604023847
454,bantry,51.68,-9.45,55.4,93,75,12.75,IE,1604024044
455,gao,16.64,1.64,77.95,16,0,11.07,ML,1604024044
456,deniliquin,-35.53,144.97,72.79,52,71,14.14,AU,1604023903
457,moroto,2.53,34.67,66.15,79,100,1.81,UG,1604024044
458,souillac,-20.52,57.52,66.99,66,27,5.99,MU,1604023834
459,grand gaube,-20.01,57.66,66.99,66,1,5.99,MU,1604023860
460,husavik,66.04,-17.34,44.6,70,20,8.05,IS,1604023856
461,paramonga,-10.67,-77.83,62.56,87,100,8.43,PE,1604024044
462,yurino,56.29,46.3,26.6,100,0,6.71,RU,1604024044
463,albstadt,48.22,9.03,53.01,10,100,7.78,DE,1604024045
464,pahrump,36.21,-115.98,71.6,10,1,8.05,US,1604024045
465,estevan,49.13,-102.98,37.4,100,90,3.36,CA,1604024045
466,satoraljaujhely,48.4,21.67,48.99,81,98,6.93,HU,1604024045
467,zhenhai,24.26,118.09,73.4,60,75,11.18,CN,1604024045
468,marawi,8.0,124.29,81.0,86,100,5.01,PH,1604024045
469,shakiso,5.75,38.92,56.07,96,53,0.92,ET,1604024045
470,chapada dos guimaraes,-15.46,-55.75,75.2,88,90,5.82,BR,1604024046
471,hami,42.8,93.45,45.64,49,7,9.46,CN,1604024046
472,gewane,10.17,40.65,71.8,51,0,2.26,ET,1604024046
473,christchurch,-43.53,172.63,66.99,72,87,10.29,NZ,1604023854
474,douentza,15.0,-2.95,77.92,17,0,3.91,ML,1604024047
475,igarka,67.47,86.58,6.66,92,90,12.77,RU,1604023880
476,beohari,24.05,81.38,67.78,51,0,2.53,IN,1604024047
477,kavaratti,10.57,72.64,82.87,68,0,6.98,IN,1604023853
478,zhezkazgan,47.8,67.71,31.78,82,0,3.67,KZ,1604023877
479,saint-francois,46.42,3.91,55.4,87,90,2.24,FR,1604023867
480,wilmington,34.23,-77.94,78.8,78,90,17.22,US,1604023303
481,ati,13.22,18.34,86.97,18,93,11.86,TD,1604024048
482,mugur-aksy,50.35,90.5,16.52,80,100,7.92,RU,1604024048
483,valparaiso,-33.04,-71.63,51.8,93,0,8.05,CL,1604023598
484,eyl,7.98,49.82,79.52,74,94,1.1,SO,1604024049
485,kandrian,-6.22,149.55,84.07,71,100,7.47,PG,1604024049
486,cap malheureux,-19.98,57.61,66.99,66,0,5.99,MU,1604023846
487,coahuayana,18.73,-103.68,75.2,83,75,0.4,MX,1604024049
488,kirkenaer,60.46,12.06,35.6,100,90,3.36,NO,1604024049
489,oktyabrskoye,43.06,44.74,46.4,100,13,2.62,RU,1604024050
490,horta,38.53,-28.63,67.37,85,100,8.05,PT,1604024050
491,ratnagiri,16.98,73.3,78.15,69,34,6.67,IN,1604024050
492,coquimbo,-29.95,-71.34,53.6,87,0,4.7,CL,1604023887
493,lumeje,-11.55,20.78,66.92,88,17,3.78,AO,1604024050
494,takoradi,4.88,-1.76,77.47,87,0,5.35,GH,1604024050
495,mount isa,-20.73,139.5,95.0,6,0,6.93,AU,1604023880
496,quelimane,-17.88,36.89,70.27,92,0,2.59,MZ,1604024050
497,oromocto,45.84,-66.48,35.01,69,100,10.18,CA,1604024050
498,sohag,26.56,31.69,69.26,56,0,7.81,EG,1604024051
499,puerto lempira,15.27,-83.77,79.54,84,100,5.55,HN,1604024051
500,kuvshinovo,57.03,34.17,43.18,90,100,5.19,RU,1604024051
501,ladnun,27.65,74.38,68.16,25,0,4.21,IN,1604024051
502,porto novo,6.5,2.6,78.8,83,40,9.17,BJ,1604024051
503,itacare,-14.28,-39.0,75.85,87,100,9.24,BR,1604024051
504,rawson,-43.3,-65.1,52.39,60,50,10.29,AR,1604023835
505,sandy bay,-42.91,147.35,66.0,67,40,17.22,AU,1604024052
506,bashmakovo,53.21,43.03,40.73,77,81,10.38,RU,1604024052
507,robertsport,6.75,-11.37,79.38,82,100,9.22,LR,1604024052
508,gushikawa,26.35,127.87,77.0,64,90,12.75,JP,1604023845
509,mpika,-11.83,31.45,62.89,66,26,5.97,ZM,1604024052
510,srednekolymsk,67.45,153.68,6.04,93,100,1.36,RU,1604024052
511,hennenman,-27.98,27.02,62.01,69,70,8.39,ZA,1604024052
512,yeppoon,-23.13,150.73,87.8,52,20,9.17,AU,1604024053
513,medina del campo,41.31,-4.91,42.8,93,0,3.36,ES,1604024053
514,kidal,18.44,1.41,77.54,17,16,10.63,ML,1604024053
515,riyadh,24.69,46.72,59.0,33,0,3.36,SA,1604023709
516,singaparna,-7.35,108.11,81.25,73,46,3.38,ID,1604024053
517,jishou,28.32,109.72,58.68,81,98,2.06,CN,1604024053
518,upata,8.01,-62.4,82.99,83,89,1.99,VE,1604024053
519,santa maria,-29.68,-53.81,64.4,68,40,6.93,BR,1604023824
520,shache,38.42,77.24,39.85,53,98,3.31,CN,1604024053
521,yaypan,40.38,70.82,41.76,59,0,3.15,UZ,1604024053
522,poltavka,54.37,71.76,34.05,94,100,11.12,RU,1604024054
523,port hardy,50.7,-127.42,53.24,81,100,15.64,CA,1604023848
524,cururupu,-1.83,-44.87,76.78,85,17,4.83,BR,1604023863
525,khatanga,71.97,102.5,0.95,85,0,11.74,RU,1604023821
526,escuintla,14.3,-90.78,66.2,88,75,11.41,GT,1604024054
527,okhotsk,59.38,143.3,29.19,94,100,10.6,RU,1604023871
528,sistranda,63.73,8.83,37.4,100,20,6.93,NO,1604024054
529,oudtshoorn,-33.59,22.2,48.2,76,7,5.82,ZA,1604024054
530,belmonte,-15.86,-38.88,73.4,94,75,5.82,BR,1604023874
531,takefu,35.9,136.17,57.2,50,40,13.87,JP,1604024055
532,ornes,66.87,13.71,39.2,51,75,10.29,NO,1604024055
533,salalah,17.02,54.09,75.2,73,0,4.7,OM,1604023814
534,saint george,37.1,-113.58,62.6,17,1,3.36,US,1604023845
535,ormara,25.21,64.64,75.07,34,0,8.34,PK,1604023890
536,malanje,-9.54,16.34,64.81,99,100,3.6,AO,1604024055
537,nantucket,41.28,-70.1,51.01,92,90,24.16,US,1604023874
538,tabuk,17.42,121.44,82.72,74,20,6.62,PH,1604023808
539,komsomolskiy,40.43,71.72,35.6,55,0,6.93,UZ,1604023837
540,entebbe,0.06,32.45,66.7,92,100,9.08,UG,1604024056
541,eureka,40.8,-124.16,55.0,76,0,1.83,US,1604023651
542,port moresby,-9.44,147.18,86.0,66,40,17.22,PG,1604024056
543,ahipara,-35.17,173.17,67.46,67,100,11.03,NZ,1604023705
544,pisco,-13.7,-76.22,63.0,82,0,19.46,PE,1604023826
545,karatau,43.17,70.47,25.86,93,0,2.04,KZ,1604024056
546,karlskrona,56.16,15.59,44.6,100,5,6.93,SE,1604023849
547,tiznit,29.58,-9.5,71.82,22,78,10.71,MA,1604024056
548,tatawin,32.93,10.45,55.4,66,0,1.12,TN,1604024056
549,salinopolis,-0.61,-47.36,80.82,82,15,13.22,BR,1604024057
550,ilebo,-4.32,20.58,69.08,96,36,1.36,CD,1604024057
551,santiago,-33.46,-70.65,62.6,39,0,11.41,CL,1604023792
552,sokur,55.21,83.32,32.0,99,90,13.42,RU,1604024057
553,san andres,12.58,-81.7,82.4,83,75,9.17,CO,1604024057
554,svetlaya,46.54,138.33,47.32,67,0,11.68,RU,1604023926
555,konstantinovka,49.62,127.98,38.52,69,100,9.82,RU,1604023927
556,el vigia,8.62,-71.65,78.28,76,100,2.95,VE,1604024057
557,neftcala,39.37,49.25,67.3,81,81,7.36,AZ,1604024057
558,monrovia,6.3,-10.8,77.0,94,40,7.29,LR,1604024006
559,dudinka,69.41,86.18,8.24,92,90,12.44,RU,1604024058
560,mabaruma,8.2,-59.78,76.57,93,100,3.62,GY,1604024058
561,bonga,7.28,36.23,56.5,81,97,1.79,ET,1604024058
562,namatanai,-3.67,152.43,81.75,76,99,8.93,PG,1604023857
563,puerto plata,19.79,-70.69,81.0,94,40,7.34,DO,1604023937
