,City,Lat,Lng,Max Temp,Humidity,cloudiness,Wind Speed,Country,Date
287,sampit,-2.53,112.95,87.28,60,74,3.2,ID,1604024022
288,egvekinot,66.32,-179.17,14.4,86,4,0.87,RU,1604024022
289,sorong,-0.88,131.25,84.76,69,55,10.45,ID,1604024022
290,murray bridge,-35.12,139.27,57.0,93,81,20.38,AU,1604023791
291,najran,17.49,44.13,57.2,45,0,1.48,SA,1604024022
292,rocha,-34.48,-54.33,51.3,79,87,9.46,UY,1604023586
293,port augusta,-32.5,137.77,60.8,82,90,27.51,AU,1604024022
294,cayenne,4.93,-52.33,82.4,83,20,5.82,GF,1604023814
295,akyab,20.15,92.9,81.19,80,77,6.96,MM,1604024023
296,poplar bluff,36.76,-90.39,46.0,93,90,8.05,US,1604024023
297,seoul,37.57,126.98,55.4,37,1,3.36,KR,1604024005
298,samarkand,39.65,66.96,39.2,51,0,11.41,UZ,1604024023
299,sisimiut,66.94,-53.67,21.29,94,95,7.05,GL,1604024023
300,alofi,-19.06,-169.92,78.8,61,75,18.34,NU,1604024024
301,tonj,7.27,28.68,71.55,91,100,6.15,SS,1604024024
302,new norfolk,-42.78,147.06,66.0,55,85,1.99,AU,1604023818
303,jiblah,13.92,44.15,56.25,47,0,3.8,YE,1604024024
304,kodinsk,58.69,99.18,21.18,95,100,7.25,RU,1604024024
305,saint-donat-de-montcalm,46.32,-74.22,21.22,95,69,7.16,CA,1604024024
306,chikwawa,-16.03,34.8,74.01,60,0,0.51,MW,1604024025
307,vardo,70.37,31.11,36.61,81,75,19.98,NO,1604023890
308,kuusamo,65.97,29.18,33.8,100,90,9.17,FI,1604024025
309,rundu,-17.93,19.77,70.0,52,2,5.84,NA,1604024025
310,huilong,31.81,121.66,66.0,57,0,11.9,CN,1604024025
311,lengshuitan,26.41,111.6,63.28,75,98,4.99,CN,1604024025
312,faya,18.39,42.45,55.4,40,0,2.68,SA,1604023880
313,luderitz,-26.65,15.16,56.39,74,0,27.83,NA,1604023839
314,cerrito,6.84,-72.69,52.63,88,100,1.14,CO,1604024025
315,zhigansk,66.77,123.37,-7.89,91,99,4.7,RU,1604023852
316,pevek,69.7,170.31,19.81,95,100,11.43,RU,1604023813
317,pindiga,9.98,10.93,72.32,43,1,2.86,NG,1604024026
318,amahai,-3.33,128.92,84.15,69,81,4.27,ID,1604023685
319,rafaela,-31.25,-61.49,55.99,48,0,1.99,AR,1604024026
320,carlos antonio lopez,-26.4,-54.77,64.6,71,0,4.45,PY,1604024026
321,inta,66.03,60.17,37.08,94,100,17.29,RU,1604024026
322,talcahuano,-36.72,-73.12,57.2,82,0,2.24,CL,1604024026
323,coihaique,-45.58,-72.07,48.2,66,0,3.36,CL,1604023840
324,hamilton,39.18,-84.53,45.0,93,90,14.99,US,1604023745
325,batagay,67.63,134.63,2.64,91,100,1.39,RU,1604023867
326,goundam,16.41,-3.67,82.85,14,63,8.25,ML,1604023847
327,oistins,13.07,-59.53,80.6,88,40,23.04,BB,1604024027
328,lakota,5.85,-5.69,71.33,98,100,1.61,CI,1604024027
329,mackay,-21.15,149.2,93.0,43,0,16.11,AU,1604024027
330,elko,41.0,-115.5,57.2,19,1,2.8,US,1604024027
331,atasu,48.68,71.64,28.44,85,0,8.12,KZ,1604024028
332,kiama,-34.68,150.87,69.8,49,40,11.41,AU,1604024028
333,asyut,27.18,31.18,70.07,67,16,9.4,EG,1604024028
334,paamiut,61.99,-49.67,27.23,88,0,8.59,GL,1604024028
335,bengkulu,-3.8,102.27,76.6,87,99,2.71,ID,1604023883
336,letka,59.6,49.42,31.68,98,92,7.47,RU,1604024028
337,padang,-0.95,100.35,85.75,57,40,1.43,ID,1604023867
338,batemans bay,-35.72,150.18,66.99,76,99,1.01,AU,1604024028
339,burdur,37.72,30.29,53.6,93,75,4.7,TR,1604024028
340,san jose,37.34,-121.89,68.0,43,0,2.21,US,1604023605
341,nabire,-3.37,135.48,88.97,52,0,4.68,ID,1604024029
342,yulara,-25.24,130.99,71.6,26,0,12.75,AU,1604023836
343,jinotega,13.09,-86.0,65.66,98,100,3.33,NI,1604023988
344,maldonado,-34.67,-54.92,53.6,76,75,14.99,UY,1604024029
345,ust-shonosha,61.15,41.34,43.77,90,100,8.52,RU,1604024029
346,awjilah,29.11,21.29,61.34,83,0,8.05,LY,1604024029
347,briancon,44.9,6.65,46.99,73,92,4.7,FR,1604024030
348,velky osek,50.1,15.19,46.0,87,0,3.36,CZ,1604024030
349,yar-sale,66.83,70.83,17.01,97,100,8.41,RU,1604023816
350,manbij,36.53,37.95,53.6,76,0,6.15,SY,1604024030
351,tirumullaivasal,11.23,79.83,78.42,70,8,11.43,IN,1604024030
352,san luis,-33.3,-66.34,56.97,36,95,16.49,AR,1604024030
353,erzin,36.96,36.2,64.99,83,0,8.01,TR,1604023836
354,khanpur,28.65,70.66,67.82,27,0,7.05,PK,1604024030
355,yarmouth,41.71,-70.23,51.01,93,90,17.22,US,1604024031
356,kemlya,54.7,45.24,35.42,86,80,5.73,RU,1604024031
357,broken hill,-31.95,141.43,64.4,52,75,20.8,AU,1604024031
358,ambilobe,-13.2,49.05,71.8,75,10,5.84,MG,1604024031
359,yerbogachen,61.28,108.01,14.34,95,100,5.79,RU,1604023926
360,churapcha,62.0,132.43,-1.25,90,55,1.23,RU,1604024031
361,sioux lookout,50.1,-91.92,19.04,88,38,2.53,CA,1604024031
362,ouesso,1.61,16.05,67.12,97,95,1.19,CG,1604024032
363,pochutla,15.74,-96.47,75.2,83,75,3.27,MX,1604024032
